School_name,Latitude,Longitude,Selective_school
Condong Public School,-28.309674,153.434424,Not Selective
Coniston Public School,-34.439023,150.887435,Not Selective
Connells Point Public School,-33.984689,151.100306,Not Selective
Cooerwull Public School,-33.484053,150.142093,Not Selective
Coogee Public School,-33.920819,151.249846,Not Selective
Coolah Central School,-31.821024,149.723624,Not Selective
Coolamon Central School,-34.811904,147.201398,Not Selective
Shoalhaven Heads Public School,-34.853167,150.740088,Not Selective
Coolongolook Public School,-32.222798,152.318838,Not Selective
Cooma Public School,-36.237474,149.125034,Not Selective
Coonabarabran Public School,-31.280039,149.282061,Not Selective
Coonamble Public School,-30.958363,148.387024,Not Selective
Coopernook Public School,-31.827512,152.607874,Not Selective
Coorabell Public School,-28.625696,153.487492,Not Selective
Cooranbong Public School,-33.0805,151.441793,Not Selective
Cootamundra Public School,-34.638914,148.026809,Not Selective
Copmanhurst Public School,-29.584663,152.775537,Not Selective
Coraki Public School,-28.992589,153.282641,Not Selective
Coramba Public School,-30.221578,153.011513,Not Selective
Corindi Public School,-30.021469,153.194234,Not Selective
Corndale Public School,-28.71315,153.362489,Not Selective
Corowa Public School,-35.992545,146.3949,Not Selective
Corowa South Public School,-36.020988,146.376176,Not Selective
Corrimal Public School,-34.367371,150.899022,Not Selective
Coutts Crossing Public School,-29.832063,152.889484,Not Selective
Cowan Public School,-33.588808,151.168843,Not Selective
Cowper Public School,-29.56956,153.077731,Not Selective
Cowra Public School,-33.836028,148.68992,Not Selective
Crabbes Creek Public School,-28.456004,153.496575,Not Selective
Crescent Head Public School,-31.188089,152.970345,Not Selective
Cronulla Public School,-34.054077,151.14773,Not Selective
Crookwell Public School,-34.459938,149.469806,Not Selective
Crossmaglen Public School,-30.365945,152.981586,Not Selective
Buronga Public School,-34.169471,142.181315,Not Selective
Crystal Creek Public School,-28.31214,153.32596,Not Selective
Cudal Public School,-33.287099,148.740307,Not Selective
Cudgen Public School,-28.262592,153.555416,Not Selective
Culcairn Public School,-35.668284,147.039992,Not Selective
Cullen Bullen Public School,-33.299877,150.032317,Not Selective
Cumnock Public School,-32.931277,148.749492,Not Selective
Cundletown Public School,-31.899733,152.522008,Not Selective
Curlewis Public School,-31.117149,150.263304,Not Selective
Currabubula Public School,-31.262787,150.735709,Not Selective
Dalgety Public School,-36.502746,148.836675,Not Selective
Dalton Public School,-34.720369,149.17882,Not Selective
Dapto Public School,-34.494679,150.776781,Not Selective
Dareton Public School,-34.091148,142.040358,Not Selective
Darlington Public School,-33.892638,151.18939,Not Selective
Darlington Point Public School,-34.572807,145.993878,Not Selective
Leeville Public School,-28.930843,153.003537,Not Selective
Deepwater Public School,-29.442908,151.848086,Not Selective
Dee Why Public School,-33.749025,151.285209,Not Selective
Delegate Public School,-37.041739,148.937215,Not Selective
Delungra Public School,-29.650936,150.830977,Not Selective
Denman Public School,-32.385734,150.686009,Not Selective
Doonside Public School,-33.764557,150.870497,Not Selective
Dora Creek Public School,-33.07902,151.499217,Not Selective
Double Bay Public School,-33.874856,151.240894,Not Selective
Doubtful Creek Public School,-28.724771,152.875958,Not Selective
Douglas Park Public School,-34.179484,150.713038,Not Selective
Drake Public School,-28.928798,152.374099,Not Selective
Drummoyne Public School,-33.856073,151.153035,Not Selective
Dubbo Public School,-32.248749,148.60541,Not Selective
Dubbo North Public School,-32.24168,148.615776,Not Selective
Dudley Public School,-32.989387,151.716816,Not Selective
Lismore Public School,-28.814289,153.2909,Not Selective
Dundurrabin Public School,-30.189493,152.542649,Not Selective
Dunedoo Central School,-32.018308,149.392212,Not Selective
Dungay Public School,-28.289681,153.382374,Not Selective
Dungog Public School,-32.405233,151.757709,Not Selective
Dungowan Public School,-31.220126,151.13269,Not Selective
Dunoon Public School,-28.686735,153.315495,Not Selective
Dural Public School,-33.686057,151.026394,Not Selective
Duranbah Public School,-28.289121,153.516888,Not Selective
Duri Public School,-31.221359,150.829939,Not Selective
Durrumbul Public School,-28.523263,153.444576,Not Selective
Earlwood Public School,-33.928982,151.12238,Not Selective
Eastern Creek Public School,-33.787013,150.852624,Not Selective
Panania Public School,-33.965972,150.99946,Not Selective
Dubbo South Public School,-32.263126,148.609749,Not Selective
Ebenezer Public School,-33.530917,150.876774,Not Selective
Ebor Public School,-30.403293,152.349882,Not Selective
Eden Public School,-37.063271,149.906688,Not Selective
Congewai Public School,-32.958736,151.273875,Not Selective
Eglinton Public School,-33.37752,149.539343,Not Selective
Elands Public School,-31.619383,152.292291,Not Selective
Ellalong Public School,-32.914749,151.311974,Not Selective
Ellerston Public School,-31.81773,151.304369,Not Selective
Eltham Public School,-28.763663,153.408541,Not Selective
Emmaville Central School,-29.446152,151.601669,Not Selective
Empire Bay Public School,-33.504316,151.362889,Not Selective
Empire Vale Public School,-28.915114,153.506059,Not Selective
Emu Plains Public School,-33.755617,150.657739,Not Selective
Enfield Public School,-33.888598,151.094528,Not Selective
Engadine Public School,-34.06335,151.012431,Not Selective
The Entrance Public School,-33.346741,151.493009,Not Selective
Epping Public School,-33.770727,151.087878,Not Selective
Epping West Public School,-33.772789,151.068048,Not Selective
Erina Heights Public School,-33.428028,151.413585,Not Selective
Woodport Public School,-33.439347,151.37849,Not Selective
Ermington Public School,-33.804749,151.071574,Not Selective
Ettalong Public School,-33.513539,151.332702,Not Selective
Euabalong West Public School,-33.05583,146.397128,Not Selective
Euchareena Public School,-32.937204,149.091542,Not Selective
Eugowra Public School,-33.423082,148.369286,Not Selective
Eumungerie Public School,-31.951152,148.621075,Not Selective
Eungai Public School,-30.832071,152.874284,Not Selective
Eureka Public School,-28.687657,153.439223,Not Selective
Eurongilly Public School,-34.91017,147.780957,Not Selective
Euston Public School,-34.575588,142.744248,Not Selective
